"","transport","."
"29","voi","Ringe tjeneste man ikke kan bruge om…                                                    Ringe tjeneste man ikke kan bruge om morgenen. Fjern dem hurtigst muligt fra vores by!"
"30","voi","Firmaet har trukket 250 kr                                                    Firmaet har trukket 250 kr. på min konto for kørsel på et løbehjul, som ikke virkede. Løbehjulet har derfor ikke engang forladt startzonen, og jeg kunne ikke få lov til at stemple ud. Jeg vil aldrig anbefale dette firma."
"31","voi","Utrolig dårlig kundeservice info...                                                    Utrolig dårlig kundeservice info.... Bliv væk og tag et anden scooter firma!!!!"
"32","voi","Kan ikke afslutte tur selvom jeg havde…                                                    Kan ikke afslutte tur selvom jeg havde holdt på præcis samme sted kort forinden.Appen ville have mig til at parkere i en ""zone"" næsten 2km væk ligepludseligt, jeg er på arbejde, skulle bruge løbehjulet 300 meter, har ikke tid til at køre deres løbehjul rundt til alle mulige mærkelige lokationer, for så at tage offentlig transport tilbage. Deres kundeservice i sverige tog ikke telefonen, og der er op til 24 timers svar tid på deres mail support, hvilket jeg bestemt ikke har tid til!!! Måtte efterlade et tændt løbehjul på minutpris og slette Voi-appen. Må se hvad de siger, opdatere anmeldelsen til den tid.""Opdateret: de trak pludseligt 200kr fra min bankkonto 14 dage senere."""
"33","voi","Virkelig langsomt løbehjul."
"34","voi","Nægter nogle gange at lade dig afslutte…                                                    Nægter nogle gange at lade dig afslutte turen selvom du er parkeret korrekt, der kan så gå mange minutter hvor du forgæves forsøger at få kundesupport eller prøver at parkere andre steder.Det koster din tid og penge - vil fraråde at bruge VOI medmindre man er desperat eller fuld."
"35","voi","Virkelig dårlig service                                                    Virkelig dårlig service. Fik låst et løbehjul op i Vejle, men det ville ikke køre. Stod længe og prøvede, indtil der kom en og sagde at det pågældende løbehjul heller ikke virkede for ham tidligere på dagen. Prøvede at afslutte turen, men Appen ville ikke lade mig gøre det. Først efter at have bøvlet med det i 8 minutter fik jeg genstartet appen, og fik systemet til at afsluttet leje. Pris 32 kr, for ingen ting.Elendig service. Du kan ikke ringe til dem og ingen hjælp at hente i appen. Kan næppe være helt lovligt."
"36","voi","der er trukket 250kr fra min konto                                                    der er trukket 250kr fra min konto, og jeg har IKKE BRUGT EN SCOOTER!!Det SCAM det her firma"
"37","voi","Det rigtige koncept, men offentlig transport er stadigvæk bedre                                                    Jeg har prøvet VOI to gange her for nyligt.Ingen problemer med selve løbehjulene, det virker efter min mening sublimt.Der hvor det første problem er, at jeg begge gange parkerer mine VOIs i standerne, men det er ifølge appen få meter fra de grønne zoner. Derfor får jeg ikke mit oplåsningsgebyr retur, og VOI-turen ender altså med at koste tæt på det samme som en Taxa. Når noget så basalt ikke virker hensigtsmæssigt, så kan man spørge sig selv om produktet i virkeligheden er klar til markedet.Den anden problematik er, at det stadigvæk er dyere end offentlig transport.Fra Vestbyen i Aalborg til Nordkraft er priserne følgende:Pris med VOI løbehjul: 15 - 30 kr (alt efter om man får sit oplåsningsgebyr retur)Pris med offentlig transport (rejsekort): 8 - 12 kr.Ærgerligt!"
"38","voi","Har benyttet Voi 2 gange nu                                                    Har benyttet Voi 2 gange nu, og det har som sådan været fine nok ture. Det er bare alt alt for dyrt.En lille tur på 14min beløber sig til 38kr! 38kr!!!!!Det er kun 60atbejdsdage hvor jeg skal køre fra stationen til og fra arbejde før jeg har betalt for et helt ES4 løbehjul.Prisen burde max være 1/4 af det nuværende niveau."
"39","voi","Dårligt løbehjul!                                                    Dårligt løbehjul!Ingen strøm.Ingen fornuftig hastighed, dvs at nogle af dem kører like 5-10km i timen!?Desuden trækker i kraftedeme 210kr fra min konto ude i det blå.Jeg synes ikke at jeres lovet hastighed kører optimalt.I får 1 stjerner ud fra alt den tid jeg har forsøgt og forsøgt, men intet har ændret sig.Det er L.O.R.T"
"40","voi","Gode løbehjul                                                    Gode løbehjul, men der er simpelthen alt for mange zoner, hvor man ikke må parkere. Disse zoner bør helt afskaffes!"
"41","voi","elendighed                                                    Hallo de brutal dårlige til at have styr på deres ting. De stjal 200kr for mig uden grund og har stadig ikke fået dem tilbage."
"42","voi","Dårlig service, tabt penge på dette...                                                    Jeg synes det er dårlig stil af VOI, de ødelægger min oplevelse jeg havde glædet mig til at prøve deres elektriske og mijøvenlige løbehjul, men det første der sker når jeg prøver den er den ikke gider køre jeg bruger 10 minutter til at få den til at køre midt i Nytorv, jeg betalte 15 kroner for at låse den op også svarer det til at jeg skal gange 10 x 1,5 fordi hvert minut tager den 1,5 kroner.I de 10 minutter får jeg ikke lov til at køre alligevel, det svarer til 30 kroner jeg lige mistede ude af det blå, her slutter historien slet ikke.Jeg prøver at låse den igen så en anden er klar til at bruge den selvom den ikke rigtigt fungere men når jeg prøver at låse den fortæller den mig at jeg skal ""Prøve at låse den senere"" hvad tænker jeg så?Jeg tænker fint nok vi venter lige 1-5 minutter mere og jeg venter cirka 3 minutter det er 4,5 kroner oveni de 30 kroner det bliver så 34,5 kroner og den trækker stadig penge kan ikke slukke den, så indtil den løb tør for strøm så trak den bare penge, det er en dårlig oplevelse jeg har haft med jeres løbehjul.Jeg vil ikke råde nogle af jer til at prøve disse løbehjul de er besværlige og ikke så gode som de ser ud til at være..Hilsen en rigtig sur Enes :/"
"43","voi","Der er blevet trukket 250kr fra min…                                                    Der er blevet trukket 250kr fra min konto og jeg har ikke benyttet deres løbehjul. Det er svindel firma!!!!!!"
"44","voi","Trukket 250 kr                                                    Trukket 250 kr. to gange uden grund.. absurd og alt for dårligt."
"45","voi","Spild af tid                                                    Jeg fik at vide i en e-mail, efter jeg havde brugt en del til på at søge arbejde ved Voi, at jeg snart skulle begynde som Voi hunter. Da de så ikke vender tilbage, besluttede jeg at kontakte dem, hvortil de svarer: Vi søger ikke Voi hunters i Århus. Så det var en god sjat spildt tid."
"46","voi","Jeg er blevet trukket 250kr uden grund !"
"47","voi","Sikke noget bras                                                    Igår ville jeg bruge et af jeres løbehjul, men det virkede selvfølgelig heller ikke -hvilket jeg har prøvet MANGE gange. Så får jeg også en straf for at parkere i en ikke P zone, som er 1 meter fra hvor jeg tog det. Så skuffet over jeres behandling overfor jeres kunder. De er ikke værd at bruge penge på! Så jeg opgiver dem og spreder rygtet om dårlige løbehjul."
"48","voi","Jeg opgiver dem! - men giver dem en chance til                                                    Jeg har prøvet dem mange gange og jeg har givet dem chancer! Ingen strøm, ingen løbehjul selv om kortet påstår det. Stopper under turen selv om det ikke er i stille zone. Ingen mulighed for at få penge tilbage. Dårlig eller slet ingen bremser. Og sådan kunne jeg blive ved!19/11/2020 Opdatering: Voi har i den grad løftet servicen og stille zoner er reguleret Beder. Deres nye løbehjul er desvære meget levende at køre på deraf ikke 5 stjerner"
"49","voi","Tog et løbehjul fra Århus Stadion og…                                                    Tog et løbehjul fra Århus Stadion og til Åhusene. Parkerede i hub, men fik ikke de 20kr retur. Det gjorde jeg første gang jeg parkerede samme sted."
"50","voi","VOI er rigtig god!!! Lytter til brok!                                                    VOI er rigtig god. Jeg skrev sidste uge og brokkede mig over, at jeg ikke kunne parkerer henne ved min skole, men måtte køre 5 km/t hele 2 km tilbage igen, før jeg måtte parkere. Det så jeg i dag, at de har lavet om! Nu kan man parkere ude ved UCL Odense, virkelig er skønt! Kommer helt sikkert til at tage et løbehjul i skole de dage, jeg ikke orker at cykle😍😍"
"51","voi","De er jo geniale!                                                    De er jo geniale!Hele konceptet er jo rent faktisk en guldgruppe, og når de så fjerner alle måder at kontakte firmaet på, når man vil klage over hvad de skylder pga. defekte løbehjul og hvad der ellers måtte være, så kan de ikke tabe penge jo!Ualmindeligt ringe firma. Få oprettet en ordentlig måde at komme i kontakt med jer på!Pt. har jeg selv forsøgt at kontakte Voi over 1 1/2 måned. Den eneste måde er dog at oprette en sag igennem deres app, men den funktion virker sjovt nok ikke i den nuværende opdatering. I skylder mig penge.Man burde anmelde jeg til politiet for svindel og humbug."
"52","voi","Sikke noget udueligt møg                                                    Sikke noget udueligt møg. Kan på ingen måde anbefale det."
"53","voi","De får to stjerne for at være…                                                    De får to stjerne for at være miljøvenlige og for at det er ret sjovtat køre 20 km i timen på et løbehjul. det skal vel opleves hvis man er til den slags. Men da jeg skulle i kirke, tog det en halv time. Det kostede 99,- så øhm. jeg ved ik om det var det værd. JEg er sikker på at det er en legal forretning. men det er i hvertfal ik for folk, der passer på hvad de bruger deres penge på. eller også skal man gøre det sammen med nogle andre, så man får mere ud af oplevelsen. og ikke bare gør det for at komme fra a til b. Helt klart fantastisk til folk der har unlimited transport budget."
"54","voi","Blev snydt for 60 kr.                                                    Jeg kører med voi-scooteren, og når jeg så skal parkere står der at jeg er i en ""no parking zone"". Jeg kan åbenbart ikke afslutte min tur, så jeg bliver nødt til at køre helt tilbage hvor jeg kom fra for så at afslutte min tur. Blev så snydt for 60 KRONER!!!"
"55","voi","De snyder folk - stjæler ens penge!                                                    Jeg parkerer i en prkeringszone, men får ikke refunderet. Samme aften, da jeg skal hjem, har jeg lige tjekket, at der er tre løbehjul i en zone med meget strøm. 5 min efter ankommer jeg, og så står der, at de alle er uden støm og jeg kan ikke se et eneste læbehjul på kortet.. Svindel! Jeg har anbefalet folk, at lade den stå. De snyder folk."
"56","voi","Snydt for 24 kr                                                    Snydt for 24 kr. I går aftes står der et løbehjul på ryparken st. Jeg tænder det (og det går i gang) når jeg så stiller mig op på løbehjulet, kører det ikke - jeg giver det et forsøg eller 2, for derefter at stå af løbehjulet og prøve at afslutte tur. Så siger voi appen “du er ude for voi rute og kan ikke afslutte tur”-Hvilket vil sige at jeg var nødsaget til at trække løbehjulet hele vejen ind i voizone (tog 15-20 minutter) og jeg endte med at betale 24 kr. Det synes jeg simpelthen bare ikke er okay..Er egentlig ikke imod hele løbehjulskonceptet og kører tit på dem... så er det godt nok ærgerligt at man får sådan en her oplevelse hos voi.-Jeg håber i kan besvare det her + returnere mine penge tilbage (eftersom jeg intet andet gjorde end at trække jeres løbehjul ind i en zone)Mvh en ærgelig løbehjulskører"
"57","voi","Ærlig søvn/økonomi drænene oplevelse :(                                                    Efter at have brugt et løbehjul der ikke ville køre mere end 20 meter valgte jeg at afslutte min tur (løbehjulet var på 98%)det eneste problem var at turen ikke gad at afslutte selvom jeg var i zonen. Jeg har nu kontaktet Voi og venter på et rimeligt svar (kl: 02:33). Uret tikker i deres i app og kører hvor der står at jeg har kørt 75min. Jeg venter på deres svar og giver en tilbagemeldning når de åbner i deres kontor :(.... elendig oplevelse at have at gøre med!!"
"58","voi","Forfærdeligt koncept                                                    Forfærdeligt koncept. Du kan ikke komme ud af turen før du funder en særlig zone som de holder ret hemmeligt."
"59","voi","STØJ HELE NATTEN                                                    Hvornår har VOI tænkt sig at ændre på løbehjulene så de IKKE står og BIPPER TO HELE DØGN UDENFOR MIT VINDUE MED ØDELAGT NATTESØVN TIL FØLGE??? Det er IKKE i orden i København hvor der i forvejen er RIGELIGT med støj.GÅ VÆK VOI eller opfør dig ordentligt!!"
"60","voi","Flyder over alt i Odense                                                    Flyder over alt i Odense. Måske man skulle begynde at smide dem i åen så vi ikke skal se på det svineri 🙂"
"61","voi","CHIKANE! BIPPER UDENFOR LEJLIGHEDSVINDUER                                                    Jeg er så træt af at høre på deres bipperi udenfor mit lejlighedsvindue. FJERN DERES BIP-LYDE! DET ER CHIKANE. Jeg fatter ikke at de er lovlige. VÆK MED DEM IGEN, ODENSE KOMMUNE!!!"
"62","voi","Måtte spærre kort pga                                                    Måtte spærre kort pga. Scooter der ikke kunne låses. VOI har ingen support. Stærkt kritisabelt når man har med udlejning at gøre."
"63","voi","De stjæler dine penge                                                    Man kan ik slippe af for turen, jeg korte maks 1000m og den skrev 7km, og jeg betalte kassenKæft en dårligt system"
"64","voi","Låseproblemer løst af support                                                    Vi har i dag lejet to løbehjul. Den ene virkede som den skulle, men den anden kunne ikke låse, selvom vi prøvede at parkere den i flere godkendte zoner. Vi skrev til VOI kundeservice, og hun låste den for os, samt gav hele turen gratis. God service!"
"65","voi","Rædselsfuld udførsel af tvivlsomt koncept.                                                    Jeg har endnu ikke fundet et der faktisk virker og kører med den lovede fart. Ydermere er løbehjul der vises på appens kort, ikke altid faktisk der hvor de vises, så man bruger ligeså lang tid på at lede efter et løbehjul, som man sparer ift bare at gå."
"66","voi","Løbehjulene er sjove at køre på                                                    Løbehjulene er sjove at køre på. - når de virker vel at mærke. Lejede først en og kørte lidt rundt på den i Aarhus. Den gik i stykker, dog var der stadig strøm på den. Fandt en anden og kørte afsted. Pludselig ville den heller ikke mere. Måtte slæbe den hen til et sted jeg kunne parkere den, da jeg i første omgang åbenbart stod et sted som var udenfor parkerings zonen. Lidt panik da uret jo tikker ift til betaling af de 1.5 kr i minuttet. Det er ærgerligt at det endte med at være en dårlig oplevelse, for det er ellers sjovt."
"67","voi","Har trods dårlige anmeldelser på…                                                    Har trods dårlige anmeldelser på trustpilot testet Voi idag med min datter , virker som det skal og el løbehjulet stillet retur i en zone og fik 20kr retur . Men det koster selvfølgelig at 1.5kr i minuttet og 10kr i opstart ( får 20kr retur ved endt tur )Så alt ialt en sjov test tur syntes vi !! ( Vejle )"
"68","voi","KÆMPE ADVARSEL                                                    Magen til svindelfirma skal man lede længe efter!De snyder med zonerne og man kan ikke logge ud! Måtte manuelt køre rundt med det løbehjul og finde en plads den var tilfreds med, 3 kr i minuttet! Mange hundrede kroner for en tur en luksus taxi tager 79 kr for!"
"69","voi","Det er sikkert en super fin ide                                                    Det er sikkert en super fin ide, men når folk bare kan smide løbehjulene alle steder da der ikke er en central hvor man skal sætte dem efter brug, resulterer de i er de ligger alle mulige steder. I sig selv ikke et stor problem, men når de løber tør for strøm begynder de er bippe hvilket er en super dårligt når folk f.eks sætter dem uden foran folks lejligheder. Det er super nederen at høre på når man er tvunget til at have åbne vinduer her i sommervarmen."
"70","voi","Det virker ikke!                                                    Det virker ikke!! Beløbet begynder at tælle op på appen, men løbehjulene virker ikke. Så skal man betale for en tur man ikke har kørt. Så får man pengene retur på Voi konto, men det kan jeg da ikke bruge til noget når de heller ikke virker næste gang. Så så så så dårligt."
"71","voi","Virker ikke                                                    Virker ikke! Hvordan får man sige 32 kr igen for en “tur” der aldrig kom igang?"
"72","voi","Det virker fint                                                    Det virker fint. Men betalte 39 kr. For 9 min........ 39 kr. For 9 minutter! 39kr for 9 minutter! Det er jo sygt."
"73","voi","VOI super ide -pris ved du ik gæt dig frem mangler  gennemsigtighed og mulighed for kontakt                                                    VOI - SCOOTER I BYIde er super god man kommer hurtigt rundt i byen.PRIS OG KONTAKTDU VED IKKE HVAD DET KOSTER DIG EKS JEG KØRTE TO TIMER I DAG SKREV ACCEPTERE BEHOLDER LØBE 🏃 HJULET PRIS 38.00SÅ PRØVEDE JEG SAMME DAG AT SE HVAD DET VILLE KOSTE MIG AT KØRE 10 MINUTTER HVOR JEG BOR BUS 24 KRONERNU LØBEHJULET 🏃 PRIS 28 KRONERFOR 9 MINUTTER.HVAD ER PRISEN FOR EN TIME FOR TO TIMER FOR EN DAG. Savner gemskulige pris Kontakt tlf Hvor er dette Føler en maskine som tjener penge 💵. Intet forkert i at tjene penge Ide super Pris og kvalitet samt kontakt minus"
"74","voi","Koster 10kr en dag, 30kr den næste dag ...                                                    Husk at tjekke priserne FØR du låser den op, for det her er et absurd dårligt selskab. Det skulle ikke undre mig at det en dag koster 100kr at låse en af disse op.Opdatering: Ja, nu koster det 100kr at låse en af disse op, og du får dem ikke igen før du parkere scooteren i en ""hub"" som godt kan være flere hundrede meter væk. Ikke nok med det, så er der altid bøvl med forbindelsen når du skal parkere."
"75","voi","Voi er nem og ok                                                    Voi er nem og ok, men deres betaling system tager mere end det aftalte beløb.Jeg tjekkede gennem Voi priserne her til morgen. Start kr.10,- minut pris 1,50. på apps siger turen 5 minutter- pris kr. 20,- altså 2,5 kr i overpris.Jeg er lige glad om de ligger sig fladt ned og undskylder der her er ulovligt og bevidst snydHans"
"76","voi","Fjern nu det skidt fra vores gader                                                    Fjern nu det skidt fra vores gader! De blokerer for gående på fortorve!"
"77","voi","gik i stykker halvvejs og en gåtur på 5…                                                    gik i stykker halvvejs og en gåtur på 5 km tilbage var nødvendig. ingen af de på appen indikerede løbehjul havde strøm på efter at have gået på kryds og tværs og appen viste at der var 95% størm på. virkeligt dårligt. (Odense)"
"78","voi","Fuld tilfredshed herfra!                                                    Jeg har brugt en VOI scooter flere gange i Odense, og jeg er meget tilfreds med det! Det er hurtigt og nemt at låse en VOI op, køre på den, og afslutte turen igen. Al tilfredshed herfra.Ydermere, stillede jeg et spørgsmål til kundeservice via app'en og fik hurtigt svar igen."
"79","voi","Kunne ikke afslutte turen                                                    Kunne ikke afslutte turen. Det resulterede i, at jeg måtte køre rundt omkring - langt væk fra mit originale stoppepunkt. Turen skulle have endt med 20kr, hvilket så blev til over 50kr, da jeg også blev nød leje løbehjulet igen for at afslutte den forhåndenværende tur."
"80","voi","Havde en træls oplevelse med en scooter…                                                    Havde en træls oplevelse med en scooter som drillede, og i min egen dumhed endte jeg med at betale 3 gange før jeg fik konstateret at den var død. Fandt hurtig en ny der virkedekontaktede kundeservice via appen angående de 3 x betalte beløb som jeg intet fik noget for og dagen efter var beløbene krediteret :-)Super service"
"81","voi","Virker ikke og har trukket 2 gange 11kr…                                                    Virker ikke og har trukket 2 gange 11kr fra min konto. Brug ikke denne app. Der findes ingen kontakt til kundeservice."
"82","voi","Måtte betale for et løbehjul som…                                                    Måtte betale for et løbehjul som absolut ikke ville starte. Over 50% strøm og alt så rigtigt ud indtil at jeg have aktiveret den og den så ikke ville køre. Det et helt umuligt at få fat i VOI i forhold til at klage og få pengene refunderet."
"83","voi","Virkelig dårlig system                                                    Virkelig dårlig system. Kan ikke låse det efter en lille tur. Og ingen at kontakte, selvom de skriver at man bare kan skrive til dem og få det låst. De fortsætter med at trække penge....Hold dig væk fra dette løbehjul!!!!"
"84","voi","Forfærdelig service!                                                    Forfærdelig service!! Af en eller anden grund, virker ingen af jeres løbehjul når jeg vil låse op. Der er massere strøm på, men den beder mig “finde en anden ven på kortet”, og da jeg gør det, siger den det samme igen. Plus, jeg er så pisse træt af at gå til det nærmeste løbehjul på kortet, og se at det sjovt nok er væk. HAV STYR PÅ JERES TING, ÆRLIGT. Spild af tid, penge og gør bare oplevelse mega nederen."
"85","voi","Det er alt for dyrt og kan ikke betale…                                                    Det er alt for dyrt og kan ikke betale sig. Scooteren ville ikke låses med det samme, så jeg blev trukket for mere end jeg havde kørt for. Det er billigere at tage offentlig transport."
"86","voi","Elendig oplevelse. Hold jer fra at bruge Voi!                                                    Elendig oplevelse. Lad være med at benytte denne såkaldte “service”.  App’en gik i gang med at tælle minutter men scooteren låste ikke op. Nåede at stå på i 45 minutter mens man kunne se at beløbet bare steg og steg. Til sidst måtte jeg sende en meget vred besked til deres kundeservice om at stoppe det hele. Blev alligevel trukket 37kr selvom jeg aldrig brugte løbehjulet overhovedet. Hvis jeg kunne give 0 stjerner gjorde jeg det."
"87","voi","Frygteligt koncept                                                    Frygteligt koncept, som af gode grunde ikke er lovligt."
"88","voi","Upålideligt og dyrt                                                    Upålideligt, dyrt, nedern. Og så nakkede de 80 kr fra mig uden grund, tak for ingenting"
"89","voi","De stjæler mine skide skejs!                                                    De stjæler mine skide skejs. De har taget 300kr. fra mit kort, og jeg har ikke engang kørt på deres klamme scooters.Få jer et ordentligt system eller noget!"
"90","voi","De har trukket 250 kr fra mit kort uden…                                                    De har trukket 250 kr fra mit kort uden jeg har kørt på voi"
"91","voi","Virker ikke!!"
"92","voi","Sjovt at køre på og kommer hurtigt…                                                    Sjovt at køre på og kommer hurtigt frem. Men alt alt for dyrt!!! Vi lejede 2 i går en Voi og en Lime i ca. 45-50 min. Kr.180 😤. Så nu har jeg KØBT 2 stk i dag🙏😁👍"
"93","voi","15 kr for 1 min pga defekt løbehjul                                                    15 kr for 1 min pga defekt løbehjul, der ikke kunne køre også var pengene vækVOI burde virkelig få styr på sine ting også kan det ikke passe at man betaler for defektheder.."
"94","voi","Kan Sverige ikke tage dem tilbage igen? Tak                                                    Jeg er så træt af at de ligger og flyder overalt i gadebilledet. Det bliver stilt/kastet op af alt. De er pisse grimme at se på, man skal pludselig også passe på folk der spurter hen af fortovet på dem. Det er bare generelt et produkt som ikke rigtig gør godt for noget, og som egentligt bare godt på skride af h til igen. Tak"
"95","voi","Fck jer allesammen og jeres voi zone"
